category,series,style,material,color,attributes,location,season,img
Chair,Eames Lounge Chair,Wabi-Sabi,Walnut Wood,Light Gray,Distressed,rural,winter,71_chair_walnut_wood_light_gray_rural_winter.png
Table,Parsons Table,Retro,Polished Chrome,Terracotta,Textured,suburban,autumn,72_table_polished_chrome_terracotta_suburban_autumn.png
Table,Dining Table,Minimalist,Smoked Glass,Black,Soft,rural,autumn,73_table_smoked_glass_black_rural_autumn.png
Sofa,LC2 Sofa,Bohemian (Bojo),Tweed,Emerald Green,Textured,urban,summer,74_sofa_tweed_emerald_green_urban_summer.png
Table,Parsons Table,Minimalist,Teak,Natural Wood,Airy,urban,summer,75_table_teak_natural_wood_urban_summer.png
Storage,Dresser,Japandi,Matte Black Steel,Charcoal Gray,Vintage look,urban,winter,76_storage_matte_black_steel_charcoal_gray_urban_winter.png
Sofa,LC2 Sofa,Farmhouse,Vegan Leather,Light Gray,Modular,rural,autumn,77_sofa_vegan_leather_light_gray_rural_autumn.png
Chair,Egg Chair,Traditional,Polished Chrome,Deep Teal,High-gloss,rural,summer,78_chair_polished_chrome_deep_teal_rural_summer.png
Storage,Bookshelf,Retro,Walnut Wood,Charcoal Gray,Soft,urban,autumn,79_storage_walnut_wood_charcoal_gray_urban_autumn.png
Sofa,Sectional Sofa,Bohemian (Bojo),Suede,Deep Teal,Distressed,suburban,summer,80_sofa_suede_deep_teal_suburban_summer.png
Sofa,Togo Sofa,Mid-Century Modern,Linen,Natural Wood,Matte finish,urban,winter,81_sofa_linen_natural_wood_urban_winter.png
Sofa,Loveseat,Japandi,Tweed,Deep Teal,Airy,rural,spring,82_sofa_tweed_deep_teal_rural_spring.png
Chair,Barcelona Chair,Bauhaus,Tweed,Emerald Green,Plush,urban,winter,83_chair_tweed_emerald_green_urban_winter.png
Lamp,Nesso Table Lamp,Farmhouse,Smoked Glass,Natural Wood,Airy,rural,autumn,84_lamp_smoked_glass_natural_wood_rural_autumn.png
Sofa,Loveseat,Coastal,Vegan Leather,Navy Blue,Elegant,urban,summer,85_sofa_vegan_leather_navy_blue_urban_summer.png
Storage,Bookshelf,Farmhouse,Matte Black Steel,Olive Green,Plush,suburban,summer,86_storage_matte_black_steel_olive_green_suburban_summer.png
Table,Dining Table,Farmhouse,Smoked Glass,Deep Teal,Distressed,suburban,summer,87_table_smoked_glass_deep_teal_suburban_summer.png
Sofa,Sectional Sofa,Scandinavian,Bouclé Fabric,Beige,Geometric,rural,summer,88_sofa_boucl_fabric_beige_rural_summer.png
Storage,TV Stand,Bohemian (Bojo),Cane,Terracotta,Modular,suburban,spring,89_storage_cane_terracotta_suburban_spring.png
Storage,Bookshelf,Rustic,Teak,Natural Wood,Playful,suburban,spring,90_storage_teak_natural_wood_suburban_spring.png
Sofa,Noguchi Freeform Sofa,Traditional,Bouclé Fabric,Black,Soft,rural,spring,91_sofa_boucl_fabric_black_rural_spring.png
Storage,Sideboard,Minimalist,Teak,Light Gray,Organic shape,rural,spring,92_storage_teak_light_gray_rural_spring.png
Chair,Wishbone Chair (Y-Chair),Japandi,Velvet,Burnt Orange,Elegant,suburban,summer,93_chair_velvet_burnt_orange_suburban_summer.png
Sofa,Chesterfield Sofa,Retro,Vegan Leather,Walnut Brown,Matte finish,rural,winter,94_sofa_vegan_leather_walnut_brown_rural_winter.png
Table,Saarinen Tulip Table,Industrial,Light Oak,Off-white,Modular,rural,summer,95_table_light_oak_off_white_rural_summer.png
Storage,Cabinet,Traditional,Bent Plywood,Navy Blue,Elegant,urban,winter,96_storage_bent_plywood_navy_blue_urban_winter.png
Table,Dining Table,Farmhouse,Walnut Wood,White,Textured,suburban,spring,97_table_walnut_wood_white_suburban_spring.png
Storage,Cabinet,Bauhaus,Cane,Mustard Yellow,Airy,urban,spring,98_storage_cane_mustard_yellow_urban_spring.png
Lamp,Floor Lamp,Art Deco,Carrara Marble base,Charcoal Gray,Statement piece,suburban,spring,99_lamp_carrara_marble_base_charcoal_gray_suburban_spring.png
